MATERIAL_1_QUANTITY,MATERIAL_2_QUANTITY,MATERIAL_3_QUANTITY,MATERIAL_5_QUANTITY,MATERIAL_6_KILOGRAM,TODAY_DEMAND,TOMMORROW_DEMAND
1226,1269,1222,352798,1085,1268,1231
1255,1261,1227,224186,1091.6,1231,1230
1231,1234,1219,181564,1096,1230,1200
1228,1232,1199,230524,1096.6,1200,1194
1201,1201,1180,181806,1100.5,1194,1205
1190,1220,1182,191050,1093.9,1205,1220
1220,1227,1215,202891,1099,1220,1218
1238,1238,1212,211818,1106.3,1218,1210
1206,1220,1206,115634,1115.1,1210,1223
1219,1226,1217,186670,1113.8,1223,1220
1247,1248,1210,204645,1112.3,1220,1190
1224,1224,1190,352803,1109.1,1190,1201
1190,1211,1182,228691,1106.5,1201,1264
1273,1301,1264,844613,1098.4,1264,1287
1295,1296,1274,194989,1107.9,1287,1295
1294,1298,1287,257073,1113.5,1295,1295
1295,1295,1266,180746,1106.8,1295,1298
1300,1301,1295,177023,1112.9,1298,1300
1302,1303,1298,175066,1115.2,1300,1302
1314,1314,1300,94350,1114.1,1302,1319
1303,1321,1302,158293,1117.7,1319,1349
1319,1357,1319,270092,1107.8,1349,1317
1346,1346,1317,306364,1102.2,1317,1305
1317,1319,1294,404020,1100.9,1305,1286
1303,1304,1274,287353,1103.1,1286,1273
1280,1280,1260,286687,1099.1,1273,1279
1270,1289,1268,254878,1086.7,1279,1266
1279,1283,1253,250340,1094.9,1266,1266
1266,1279,1252,234708,1101.5,1266,1328
1294,1328,1287,293756,1102,1328,1345
1345,1347,1318,347858,1096.2,1345,1339
1346,1349,1337,213935,1102.7,1339,1343
1339,1343,1339,114122,1102.6,1343,1352
1343,1355,1343,228685,1098.7,1352,1329
1345,1347,1329,192740,1097.8,1329,1330
1340,1340,1327,159974,1103.5,1330,1333
1336,1336,1313,202532,1109.9,1333,1295
1315,1317,1288,304601,1098.8,1295,1307
1294,1311,1282,283437,1099.9,1307,1314
1339,1339,1310,248889,1096.9,1314,1314
1314,1322,1314,166231,1090,1314,1316
1313,1319,1301,154415,1081.4,1316,1339
1314,1340,1300,241087,1083.5,1339,1345
1339,1355,1335,284427,1082.2,1345,1334
1345,1349,1329,247673,1083.3,1334,1316
1334,1334,1313,266260,1077.3,1316,1343
1329,1349,1320,133049,1078,1343,1372
1350,1372,1345,265151,1088.4,1372,1395
1367,1395,1360,298410,1083.4,1395,1378
1398,1399,1378,321393,1084.9,1378,1386
1400,1400,1377,254930,1084.1,1386,1389
1375,1395,1364,202969,1080.8,1389,1400
1375,1400,1374,199037,1079.8,1400,1378
1386,1390,1374,181886,1084.5,1378,1360
1368,1395,1357,253984,1093.9,1360,1365
1360,1377,1360,290749,1093.5,1365,1368
1365,1377,1356,197740,1103.3,1368,1366
1380,1380,1359,113087,1097.4,1366,1359
1375,1381,1359,186064,1084.1,1359,1358
1359,1369,1346,128618,1090.5,1358,1372
1346,1374,1336,154305,1089.7,1372,1395
1360,1399,1357,173867,1094.9,1395,1378
1400,1400,1377,130172,1089.7,1378,1355
1374,1374,1354,199476,1097.7,1355,1344
1340,1358,1331,214964,1110.7,1344,1361
1360,1361,1345,130458,1097,1361,1374
1368,1374,1361,124530,1102.4,1374,1377
1374,1377,1364,114900,1101.8,1377,1377
1374,1377,1364,114900,1101.8,1377,1367
1378,1390,1366,306036,1108.7,1367,1367
1385,1389,1364,217265,1109.9,1367,1379
1380,1385,1373,167485,1099,1379,1375
1379,1380,1368,163583,1097.2,1375,1357
1375,1376,1357,260188,1098.4,1357,1423
1375,1423,1367,436112,1100.8,1423,1418
1435,1437,1406,274976,1096.4,1418,1437
